"aveSalary","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop","area","compVar","compScale","academic","exp","induCate"
NA,1,1,0,0,0,0,0,1,0,0,0,0,1,"国企","50-500人","本科",0,"金融/投资/证券"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","大专",0,"服装/纺织/皮革"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"合资","500-1000人","本科",2,"专业服务(咨询、人力资源、财会)"
NA,0,1,1,0,0,0,1,0,0,0,0,0,1,"上市公司","10000人以上","本科",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","500-1000人","无",2,"互联网/电子商务"
NA,0,1,0,0,0,0,1,1,0,0,0,0,1,"民营公司","500-1000人","本科",0,"医疗/护理/卫生"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","大专",2,"快速消费品(食品、饮料、化妆品)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"上市公司","50-500人","本科",1,"通信/电信/网络设备"
NA,0,0,0,0,0,1,0,0,0,0,0,0,1,"国企","500-1000人","本科",1,"航天/航空"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","5000-10000人","本科",1,"影视/媒体/艺术/文化传播"
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,"外资","10000人以上","大专",5,"计算机软件"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","1000-5000人","本科",0,"法律"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"外资","500-1000人","大专",3,"专业服务(咨询、人力资源、财会)"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"外资","50-500人","本科",2,"计算机软件"
NA,0,0,1,0,0,0,0,0,0,0,0,0,1,"上市公司","50-500人","本科",2,"互联网/电子商务"
NA,1,1,1,0,0,0,1,1,0,0,0,0,1,"上市公司","少于50人","本科",3,"互联网/电子商务"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"民营公司","50-500人","大专",0,"电子技术/半导体/集成电路"
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"国企","500-1000人","本科",0,"通信/电信/网络设备"
NA,1,0,0,1,0,0,1,0,0,0,0,0,1,"国企","50-500人","本科",1,"影视/媒体/艺术/文化传播"
NA,1,0,0,1,0,0,0,0,0,0,0,0,1,"国企","1000-5000人","硕士",0,"制药/生物工程"
